Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT Chimie IND 2022,BUT Chimie - Parcours Chimie industrielle,"<div class=""container text-center p-3"" style=""background: #1caf51;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/chimie/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/59/21609-chimie-650-650-59b46bb9.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Chimie"" data-line=""28""><span style=""color: #ffffff;"">BUT Chimie</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Chimie industrielle</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Du d&eacute;veloppement &agrave; la production : le dipl&ocirc;m&eacute; permettra l&rsquo;interface entre le laboratoire et la production. Il r&eacute;alisera le traitement<br>des r&eacute;sultats d&rsquo;analyse des proc&eacute;d&eacute;s de production, le suivi des &eacute;quipements analytiques en production et l&rsquo;optimisation des<br>m&eacute;thodes analytiques en lien avec le proc&eacute;d&eacute;. De par ses connaissances en g&eacute;nie des proc&eacute;d&eacute;s, il veillera au bon fonctionnement<br>des unit&eacute;s de fabrication, du laboratoire &agrave; la production, en passant par le pilote, selon les directives &eacute;tablies.<br>&ndash; Technicien de contr&ocirc;le de conformit&eacute; en ligne ;<br>&ndash; Inspecteur de conformit&eacute; et environnement ;<br>&ndash; Adjoint au responsable de laboratoire de d&eacute;veloppement de proc&eacute;d&eacute;s ;<br>&ndash; Technicien d&rsquo;atelier de fabrication et m&eacute;thodes (automatisation de proc&eacute;d&eacute;s) ;<br>&ndash; Technicien de production en industrie chimique, pharmaceutique, cosm&eacute;toparfumerie.<br></span></p>
<p data-line=""30""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe4 (PDF-1.79 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/12/2/spe617_annexe4_1426122.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; chimie : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT Chimie IND 2022-C1,🔴 Analyser,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Analyser les &eacute;chantillons solides, liquides et&nbsp;gazeux</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant un protocole d'analyse</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En utilisant des techniques d&rsquo;analyse chimique et/ou physico-chimique adapt&eacute;es</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mettant en oeuvre des m&eacute;thodes de pr&eacute;l&egrave;vement et de pr&eacute;paration d&rsquo;&eacute;chantillon ad&eacute;quates</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En d&eacute;veloppant une d&eacute;marche analytique coh&eacute;rente</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En laboratoire d&rsquo;analyses ou de contr&ocirc;le qualit&eacute;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En laboratoire de recherche et d&eacute;veloppement</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT Chimie IND 2022-C2,🟠 Synthétiser,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Synth&eacute;tiser des mol&eacute;cules</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En transformant la mati&egrave;re de mani&egrave;re appropri&eacute;e</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En assurant le suivi r&eacute;actionnel par des m&eacute;thodes adapt&eacute;es</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En caract&eacute;risant les compos&eacute;s par des techniques adapt&eacute;es</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En purifiant le compos&eacute; par des techniques adapt&eacute;es</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En laboratoire de recherche et d&eacute;veloppement</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En atelier de production industrielle</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT Chimie IND 2022-C3,🟡 Élaborer,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>&Eacute;laborer des mat&eacute;riaux et/ou des produits<br>formul&eacute;s</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En choisissant les mati&egrave;res premi&egrave;res et les proc&eacute;d&eacute;s adapt&eacute;s</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mettant en oeuvre une d&eacute;marche d'&eacute;coconception pertinente</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En caract&eacute;risant les propri&eacute;t&eacute;s des mat&eacute;riaux et/ou des produits formul&eacute;s par des techniques adapt&eacute;es</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En laboratoire de recherche et d&eacute;veloppement</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En atelier de production industrielle</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT Chimie IND 2022-C4,🟢 Produire,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Produire des compos&eacute;s interm&eacute;diaires et des<br>produits finis</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mettant en oeuvre correctement des op&eacute;rations unitaires d'une fabrication de chimie industrielle</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En suivant une fabrication par des analyses physico-chimiques adapt&eacute;es</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les &eacute;volutions de la chimie verte et du d&eacute;veloppement durable</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En atelier de production industrielle</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En laboratoire de recherche et d&eacute;veloppement ou atelier pilote</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT Chimie IND 2022-C5,🔵 Gérer,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>G&eacute;rer des activit&eacute;s d'un laboratoire de chimie ou<br>d'un atelier de production</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s'impliquant dans le pilotage des activit&eacute;s du laboratoire ou de l'atelier de production</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En appliquant une d&eacute;marche qualit&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En assurant la transmission des informations scientifiques et techniques</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En laboratoire d&rsquo;analyses, de contr&ocirc;le-qualit&eacute;, de recherche et d&eacute;veloppement</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En atelier de production industrielle</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT Chimie IND 2022-C6,🟣 Contrôler,"<div class=""container"" style=""border: solid 4px #8d65c5; padding-top: 1em; background: linear-gradient(180deg,rgba(141, 101, 197,1)0%,rgba(141, 101, 197,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Contr&ocirc;ler les aspects Hygi&egrave;ne, S&eacute;curit&eacute;,&nbsp;Environnement</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant une d&eacute;marche HSE - Hygi&egrave;ne, S&eacute;curit&eacute;, Environnement</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant une chimie durable et &eacute;conome</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En laboratoire d&rsquo;analyses ou de contr&ocirc;le qualit&eacute;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En laboratoire de recherche et d&eacute;veloppement</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En atelier de production industrielle</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
PN LP-BUT Chimie IND 2022-C1,PN LP-BUT Chimie IND 2022-C1-L1,⭐ Utiliser des techniques simples,,,,,,,,,,,""
PN LP-BUT Chimie IND 2022-C1,PN LP-BUT Chimie IND 2022-C1-L2,⭐⭐ Utiliser des techniques variées,,,,,,,,,,,""
PN LP-BUT Chimie IND 2022-C2,PN LP-BUT Chimie IND 2022-C2-L1,⭐ Réaliser une synthèse simple,,,,,,,,,,,""
