Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT INFO INTEG 2022,BUT Info - Parcours Intégration d'applications et management du système d'information,"<div class=""container text-center p-3"" style=""background: #bb1e27;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/informatique-2/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/6c/352385-info-650-650-6cc7482f.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Informatique"" data-line=""189""><span style=""color: #ffffff;"">BUT Informatique</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Int&eacute;gration d'applications et management du syst&egrave;me d'information</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Ce parcours forme des cadres interm&eacute;diaires capables :<br>&ndash; d&rsquo;assembler, de d&eacute;velopper et de faire fonctionner les diff&eacute;rents composants d&rsquo;une solution logicielle (progiciels, bases&nbsp;de donn&eacute;es, d&eacute;veloppements sp&eacute;cifiques) c&rsquo;est-&agrave;-dire devenir le garant du nouveau syst&egrave;me d&rsquo;informations en livrant&nbsp;le package informatique (depuis l&rsquo;analyse du besoin, la constitution du cahier des charges fonctionnel, l&rsquo;&eacute;laboration<br>du cahier des charges techniques jusqu&rsquo;&agrave; l&rsquo;installation, la configuration, la conception et le d&eacute;veloppement de certains<br>modules et en prenant en compte le syst&egrave;me d&rsquo;information actuel et les modules disponibles dans les progiciels) ;<br>&ndash; de coordonner et g&eacute;rer des projets informatiques c&rsquo;est &agrave; dire de participer &agrave; la phase de conception initiale, de s&rsquo;occuper&nbsp;du suivi et de la mise &agrave; jour des plannings et des tableaux de bord, d&rsquo;assister les &eacute;quipes techniques, de g&eacute;rer au jour&nbsp;le jour les relations avec les prestataires et enfin de veiller &agrave; la conformit&eacute; du cahier des charges avec la r&eacute;alisation.<br>Ces cadres interm&eacute;diaires exercent leur activit&eacute; dans les entreprises et autres organisations (entreprise de services du num&eacute;rique&nbsp;- E.S.N., t&eacute;l&eacute;communications, banques, assurances, grande distribution, plateformes e-commerce, industries, services&nbsp;publics, &eacute;diteurs de logiciels...).</span></p>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Ces activit&eacute;s sont tr&egrave;s diverses et regroupent les m&eacute;tiers li&eacute;s &agrave; l&rsquo;int&eacute;gration, au d&eacute;veloppement de modules ou de progiciels et&nbsp;&agrave; la conduite de projet :<br>&ndash; int&eacute;gration fonctionnelle d&rsquo;applications ;<br>&ndash; installation et param&eacute;trage de progiciels ;<br>&ndash; assistance chef de projet ;<br>&ndash; assistance architecture syst&egrave;me d&rsquo;information.<br>En outre, la personne titulaire du B.U.T. Informatique parcours Int&eacute;gration d&rsquo;applications et management du syst&egrave;me d&rsquo;information&nbsp;dispose de comp&eacute;tences en mati&egrave;re de raisonnement et de mod&eacute;lisation math&eacute;matiques, en droit, &eacute;conomie et gestion&nbsp;des entreprises et des administrations, en expression-communication et en langue anglaise.</span></p>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Activit&eacute;s pr&eacute;par&eacute;es par le parcours<br>Les activit&eacute;s associ&eacute;es &agrave; ce parcours sont li&eacute;es au d&eacute;veloppement, &agrave; l&rsquo;int&eacute;gration d&rsquo;applications et aux fonctions d&rsquo;assistance au&nbsp;pilotage de projets de transformation num&eacute;rique des organisations afin de former des int&eacute;grateurs fonctionnels et/ou techniques&nbsp;et des param&eacute;treurs de progiciels int&eacute;gr&eacute;s :<br>&ndash; assurer l&rsquo;int&eacute;gration et le d&eacute;veloppement de nouveaux composants en respectant les standards techniques et les r&egrave;gles<br>de s&eacute;curit&eacute;, en &eacute;laborant les plans de test et le recettage.<br>&ndash; s&rsquo;adapter, coordonner les diff&eacute;rents acteurs techniques et la ma&icirc;trise d&rsquo;ouvrage dans le d&eacute;ploiement ou l&rsquo;assemblage<br>des composants logiciels (progiciels, bases de donn&eacute;es, d&eacute;veloppements sp&eacute;cifiques...) dans le respect des normes<br>et proc&eacute;dures en vigueur ;<br>&ndash; participer &agrave; la planification de la production, suivre les r&eacute;sultats, identifier et analyser les dysfonctionnements afin<br>d&rsquo;organiser les changements ;<br>&ndash; ma&icirc;triser les environnements d&rsquo;exploitation tels que les environnements cloud ainsi que les outils et les m&eacute;thodes<br>associ&eacute;s ;<br>&ndash; participer au param&eacute;trage et d&eacute;veloppement des diff&eacute;rentes modules d&rsquo;un progiciel pour r&eacute;pondre aux besoins de&nbsp;l&rsquo;organisation ;<br>&ndash; savoir utiliser les outils de l&rsquo;informatique d&eacute;cisionnelle pour collecter, int&eacute;grer, analyser et pr&eacute;senter des indicateurs<br>de performance utiles &agrave; la prise de d&eacute;cision.</span></p>
<p data-line=""191""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe15 (PDF-1.74 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/14/6/spe617_annexe15_1426146.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; informatique : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT INFO INTEG 2022-C1,🔴 Réaliser,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>D&eacute;velopper &mdash; c&rsquo;est-&agrave;-dire concevoir, coder, tester&nbsp;et int&eacute;grer &mdash; une solution informatique pour un&nbsp;client.</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant les besoins d&eacute;crits par le client</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en appliquant les principes algorithmiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en veillant &agrave; la qualit&eacute; du code et &agrave; sa documentation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en choisissant les ressources techniques appropri&eacute;es</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">&Eacute;laborer une application informatique</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Faire &eacute;voluer une application informatique</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Maintenir en conditions op&eacute;rationnelles une application informatique</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT INFO INTEG 2022-C2,🟠 Optimiser,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Proposer des applications informatiques<br>optimis&eacute;es en fonction de crit&egrave;res sp&eacute;cifiques :<br>temps d&rsquo;ex&eacute;cution, pr&eacute;cision, consommation de&nbsp;ressources</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en formalisant et mod&eacute;lisant des situations complexes</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en recensant les algorithmes et les structures de donn&eacute;es usuels</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en s&rsquo;appuyant sur des sch&eacute;mas de raisonnement</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en justifiant les choix et validant les r&eacute;sultats</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Am&eacute;liorer les performances des programmes dans des contextes contraints</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Limiter l&rsquo;impact environnemental d&rsquo;une application informatique</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Mettre en place des applications informatiques adapt&eacute;es et efficaces</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT INFO INTEG 2022-C3,🟡 Administrer,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Installer, configurer, mettre &agrave; disposition,<br>maintenir en conditions op&eacute;rationnelles des<br>infrastructures, des services et des r&eacute;seaux et<br>optimiser le syst&egrave;me informatique d&rsquo;une<br>organisation</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en s&eacute;curisant le syst&egrave;me d&rsquo;information</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en appliquant les normes en vigueur et les bonnes pratiques architecturales et de s&eacute;curit&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en offrant une qualit&eacute; de service optimale</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en assurant la continuit&eacute; d'activit&eacute;</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">D&eacute;ployer une nouvelle architecture technique</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Am&eacute;liorer une infrastructure existante</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">S&eacute;curiser les applications et les services</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT INFO INTEG 2022-C4,🟢 Gérer,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Concevoir, g&eacute;rer, administrer et exploiter les<br>donn&eacute;es de l&rsquo;entreprise et mettre &agrave; disposition<br>toutes les informations pour un bon pilotage de&nbsp;l&rsquo;entreprise</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant les r&eacute;glementations sur le respect de la vie priv&eacute;e et la protection des donn&eacute;es personnelles</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant les enjeux &eacute;conomiques, soci&eacute;taux et &eacute;cologiques de l&rsquo;utilisation du stockage de donn&eacute;es, ainsi que les diff&eacute;rentes<br>infrastructures (data centers, cloud, etc.)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en s&rsquo;appuyant sur des bases math&eacute;matiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en assurant la coh&eacute;rence et la qualit&eacute;</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Lancer un nouveau projet</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">S&eacute;curiser des donn&eacute;es</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Exploiter des donn&eacute;es pour la prise de d&eacute;cisions</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT INFO INTEG 2022-C5,🔵 Conduire,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Satisfaire les besoins des utilisateurs au regard&nbsp;de la cha&icirc;ne de valeur du client, organiser et&nbsp;piloter un projet informatique avec des m&eacute;thodes classiques ou agiles</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en adoptant une d&eacute;marche proactive, cr&eacute;ative et critique</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant les r&egrave;gles juridiques et les normes en vigueur</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en communiquant efficacement avec les diff&eacute;rents acteurs d&rsquo;un projet</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en sensibilisant &agrave; une gestion &eacute;thique, responsable, durable et interculturelle</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Lancer un nouveau projet</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Piloter le maintien d&rsquo;un projet en condition op&eacute;rationnelle</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Faire &eacute;voluer un syst&egrave;me d&rsquo;information</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT INFO INTEG 2022-C6,🟣 Collaborer,"<div class=""container"" style=""border: solid 4px #8d65c5; padding-top: 1em; background: linear-gradient(180deg,rgba(141, 101, 197,1)0%,rgba(141, 101, 197,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Acqu&eacute;rir, d&eacute;velopper et exploiter les aptitudes&nbsp;n&eacute;cessaires pour travailler efficacement dans une&nbsp;&eacute;quipe informatique</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en inscrivant sa d&eacute;marche au sein d&rsquo;une &eacute;quipe pluridisciplinaire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en accompagnant la mise en oeuvre des &eacute;volutions informatiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en veillant au respect des contraintes juridiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en d&eacute;veloppant une communication efficace et collaborative</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Lancer un nouveau projet</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Organiser son travail en relation avec celui de son &eacute;quipe</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">&Eacute;laborer, g&eacute;rer et transmettre de l&rsquo;information</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT INFO INTEG 2022-C1,PN LP-BUT INFO INTEG 2022-C1-L1,⭐ Développer des applications informatiques simples,,,,,,,,,,,
PN LP-BUT INFO INTEG 2022-C1,PN LP-BUT INFO INTEG 2022-C1-L2,⭐⭐ Partir des exigences et aller jusqu’à une application complète,,,,,,,,,,,
PN LP-BUT INFO INTEG 2022-C1,PN LP-BUT INFO INTEG 2022-C1-L3,"⭐⭐⭐ Adapter des applications sur un ensemble de supports (embarqué, web, mobile, IoT…)",,,,,,,,,,,
