Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT TC MDEE 2022,"BUT Techniques de Commercialisation - Parcours Marketing digital, e-business et entrepreneuriat","<div class=""container text-center p-3"" style=""background: #e94663;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/techniques-de-commercialisation/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/05/21642-tc-650-650-050e4452.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Techniques-de-Commercialisation"" data-line=""322""><span style=""color: #ffffff;"">BUT Techniques de Commercialisation</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Marketing digital, e-business et entrepreneuriat</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le parcours marketing digital, e-business et entrepreneuriat vise &agrave; former aux activit&eacute;s commerciales digitales en d&eacute;veloppant&nbsp;des comp&eacute;tences dans le pilotage et la gestion de ces activit&eacute;s d&rsquo;une part, et dans le d&eacute;veloppement de projet commercial&nbsp;digital pouvant mener &agrave; la cr&eacute;ation d&rsquo;une start-up d&rsquo;autre part. Les dipl&ocirc;m&eacute;s exerceront les m&eacute;tiers du marketing digital, du&nbsp;e-business au sein de tout type d&rsquo;organisation et les m&eacute;tiers de l&rsquo;entrepreneuriat.</span></p>
<p data-line=""324""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe25 (PDF-2.15 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/16/6/spe617_annexe25_1426166.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo;&nbsp;techniques de commercialisation&nbsp;: programme national</a></span></p>
<p data-line=""4"">&nbsp;</p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT TC MDEE 2022-C1,🔴 Marketing,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Conduire les actions marketing</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en analysant avec des outils pertinents les contextes &eacute;conomiques, juridiques, commerciaux et financiers</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en &eacute;valuant de mani&egrave;re adapt&eacute;e les principaux acteurs de l&rsquo;offre sur le march&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en quantifiant la demande et en appr&eacute;ciant le comportement du consommateur</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en analysant avec les outils appropri&eacute;s les comp&eacute;tences et les ressources de l'entreprise</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en &eacute;laborant un mix adapt&eacute; &agrave; la cible et positionn&eacute; par rapport aux concurrents</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en adoptant une posture citoyenne, &eacute;thique et &eacute;cologique</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de d&eacute;veloppement d'un produit</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de d&eacute;veloppement d'un service</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de d&eacute;veloppement d'une activit&eacute; non marchande</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT TC MDEE 2022-C2,🟠 Vente,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Vendre une offre commerciale</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant l&rsquo;ordre des &eacute;tapes de la n&eacute;gociation commerciale et une d&eacute;marche &eacute;thique</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en &eacute;laborant les documents commerciaux adapt&eacute;s &agrave; la situation commerciale et dans le respect de la r&eacute;glementation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en utilisant de fa&ccedil;on efficace des indicateurs de performance fix&eacute;s par l&rsquo;organisation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en prospectant &agrave; l'aide d'outils adapt&eacute;s</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en adaptant sa communication verbale et non verbale &agrave; la situation commerciale</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de vente en B to C</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de vente en B to B</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT TC MDEE 2022-C3,🟡 Communication commerciale,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Communiquer l'offre commerciale</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en &eacute;laborant une strat&eacute;gie de communication en coh&eacute;rence avec le mix</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en utilisant les outils de la communication commerciale adapt&eacute;s &agrave; la demande et aux contraintes de l'organisation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en produisant des supports de communication efficaces et qualitatifs</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant la r&eacute;glementation en vigueur</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de communication de l'offre en tant qu'annonceur</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de communication de l'offre en tant qu'agence de communication</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT TC MDEE 2022-C4,🟢 Marketing digital,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>G&eacute;rer une activit&eacute; digitale</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en s&eacute;lectionnant les outils pertinents de recueil, traitement et analyse des donn&eacute;es de masse</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en d&eacute;veloppant une strat&eacute;gie marketing digitale performante</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en pilotant efficacement une offre digitale</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en optimisant la relation client digitalis&eacute;e</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en assurant une logistique performante du e-commerce</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de d&eacute;ploiement d'une activit&eacute; digitale en B to C</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de d&eacute;ploiement d'une activit&eacute; digitale en B to B</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de d&eacute;ploiement d'une activit&eacute; digitale tourn&eacute;e vers un bien</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de d&eacute;ploiement d'une activit&eacute; digitale tourn&eacute;e vers un service</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT TC MDEE 2022-C5,🔵 E-business et entrepreneuriat,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Manager un projet &eacute;v&eacute;nementiel</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en &eacute;laborant le document du mod&egrave;le d'affaires d&eacute;crivant la cr&eacute;ation et le partage de la valeur</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en d&eacute;veloppant une vision strat&eacute;gique partag&eacute;e</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en analysant de fa&ccedil;on pertinente des documents et indicateurs financiers</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en analysant d'un point de vue quantitatif et qualitatif les environnements sp&eacute;cifiques pour r&eacute;ussir un projet digital</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mobilisant des techniques ad&eacute;quates pour passer de la cr&eacute;ativit&eacute; &agrave; l'innovation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en s'int&eacute;grant activement dans un projet collectif</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de cr&eacute;ation d'entreprise</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de d&eacute;veloppement d'un projet au sein d'une organisation</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT TC MDEE 2022-C1,PN LP-BUT TC MDEE 2022-C1-L1,⭐ Pour construire une offre commerciale simple,,,,,,,,,,,
PN LP-BUT TC MDEE 2022-C1,PN LP-BUT TC MDEE 2022-C1-L2,⭐⭐ Pour construire une offre commerciale complexe ou innovante,,,,,,,,,,,
PN LP-BUT TC MDEE 2022-C1,PN LP-BUT TC MDEE 2022-C1-L3,⭐⭐⭐ Pour construire une solution client étendue à tous les secteurs d'activités,,,,,,,,,,,
PN LP-BUT TC MDEE 2022-C2,PN LP-BUT TC MDEE 2022-C2-L1,⭐ Pour préparer l'entretien de vente,,,,,,,,,,,
